Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
1,,BTNOR12002199701,LAEGREID Sturla Holm,NOR,0+0+0+0,0,48:57.0,60,160,,0.0,0,26.0,1:54.2,+17.8,40.0,3:22.2,+18.4,7.0,45:01.8,+50.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
2,,BTNOR11605199301,BOE Johannes Thingnes,NOR,1+0+0+0,1,49:16.6,54,154,y,+19.6,0,999.0,2:10.8,+34.4,61.0,3:29.8,+26.0,1.0,44:11.4,0.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
3,,BTGER11705198801,LESSER Erik,GER,0+1+0+0,1,50:00.6,48,148,,+1:03.6,0,999.0,1:47.4,+11.0,6.0,3:08.4,+4.6,10.0,45:15.7,+1:04.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
4,,BTFRA11608199201,FILLON MAILLET Quentin,FRA,0+1+0+0,1,50:02.9,43,143,,+1:05.9,0,40.0,1:58.1,+21.7,17.0,3:13.3,+9.5,9.0,45:14.4,+1:03.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
5,,BTCZE10906198401,MORAVEC Ondrej,CZE,0+0+0+0,0,50:03.9,40,140,,+1:06.9,0,9.0,1:42.8,+6.4,5.0,3:08.2,+4.4,32.0,46:20.1,+2:08.7,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
6,,BTSWE12803199701,SAMUELSSON Sebastian,SWE,1+1+0+0,2,50:28.8,38,138,,+1:31.8,0,37.0,1:57.2,+20.8,37.0,3:21.9,+18.1,3.0,44:35.1,+23.7,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
7,,BTCRO10108198701,FAK Jakov,SLO,0+0+0+1,1,50:29.0,36,136,,+1:32.0,0,5.0,1:40.7,+4.3,4.0,3:07.7,+3.9,21.0,45:47.4,+1:36.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
8,,BTFRA11107199501,JACQUELIN Emilien,FRA,1+1+0+0,2,50:59.1,34,134,,+2:02.1,0,18.0,1:51.1,+14.7,13.0,3:10.6,+6.8,8.0,45:14.0,+1:02.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
9,,BTFRA10207199101,GUIGONNAT Antonin,FRA,0+0+1+0,1,51:10.6,32,132,,+2:13.6,0,999.0,1:52.5,+16.1,30.0,3:18.9,+15.1,28.0,46:15.2,+2:03.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
10,,BTRUS13101199201,LOGINOV Alexandr,RUS,0+1+0+1,2,51:16.2,31,131,,+2:19.2,0,24.0,1:53.7,+17.3,19.0,3:14.2,+10.4,12.0,45:25.7,+1:14.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
11,,BTCZE12301199101,KRCMAR Michal,CZE,1+0+0+0,1,51:23.3,30,130,,+2:26.3,0,47.0,1:59.9,+23.5,63.0,3:30.4,+26.6,31.0,46:19.2,+2:07.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
12,,BTNOR12907198801,BOE Tarjei,NOR,0+1+0+2,3,51:29.7,29,129,,+2:32.7,0,62.0,2:03.3,+26.9,28.0,3:18.2,+14.4,4.0,44:37.8,+26.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
13,,BTNOR13007199001,BJOENTEGAARD Erlend,NOR,1+0+1+0,2,51:39.9,28,,,+2:42.9,0,68.0,2:05.7,+29.3,57.0,3:29.4,+25.6,14.0,45:36.4,+1:25.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
14,,BTFIN10806199801,HARJULA Tuomas,FIN,0+1+0+0,1,51:44.1,27,127,,+2:47.1,0,39.0,1:58.0,+21.6,44.0,3:23.8,+20.0,37.0,46:45.5,+2:34.1,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
15,,BTFRA10312199101,DESTHIEUX Simon,FRA,1+1+0+0,2,51:48.6,26,,,+2:51.6,0,44.0,1:59.1,+22.7,31.0,3:19.3,+15.5,23.0,45:54.0,+1:42.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
16,,BTLTU12811199201,STROLIA Vytautas,LTU,1+0+0+0,1,51:53.3,25,125,,+2:56.3,0,999.0,2:01.8,+25.4,53.0,3:28.1,+24.3,39.0,46:49.4,+2:38.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
17,,BTGER11803198701,PEIFFER Arnd,GER,0+1+1+0,2,51:53.9,24,124,,+2:56.9,0,60.0,2:02.6,+26.2,33.0,3:21.1,+17.3,24.0,45:57.9,+1:46.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
18,,BTCAN12803199301,GOW Christian,CAN,0+0+0+0,0,51:54.0,23,123,,+2:57.0,0,41.0,1:58.4,+22.0,34.0,3:21.2,+17.4,61.0,47:58.2,+3:46.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
19,,BTBLR11612199601,SMOLSKI Anton,BLR,1+0+2+0,3,52:01.0,22,122,,+3:04.0,0,38.0,1:57.3,+20.9,78.0,3:36.0,+32.2,5.0,44:51.0,+39.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
20,,BTITA13009198901,HOFER Lukas,ITA,0+1+1+1,3,52:08.1,21,121,,+3:11.1,0,17.0,1:50.5,+14.1,8.0,3:08.9,+5.1,13.0,45:26.1,+1:14.7,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
21,,BTAUT12302198301,EDER Simon,AUT,0+1+0+0,1,52:12.7,20,120,,+3:15.7,0,15.0,1:49.2,+12.8,21.0,3:14.8,+11.0,44.0,47:22.0,+3:10.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
22,,BTNOR12305199701,DALE-SKJEVDAL Johannes,NOR,1+0+0+1,2,52:13.4,19,,,+3:16.4,0,93.0,2:28.5,+52.1,95.0,3:56.9,+53.1,17.0,45:39.5,+1:28.1,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
23,,BTRUS12802198801,BOCHARNIKOV Sergey,BLR,1+1+0+1,3,52:22.9,18,118,,+3:25.9,0,11.0,1:44.8,+8.4,11.0,3:09.5,+5.7,16.0,45:37.0,+1:25.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
24,,BTUSA11705198901,NORDGREN Leif,USA,1+0+0+0,1,52:33.4,17,117,,+3:36.4,0,32.0,1:56.3,+19.9,47.0,3:25.4,+21.6,48.0,47:31.9,+3:20.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
25,,BTRUS13103199301,ELISEEV Matvei,RUS,1+0+0+0,1,52:37.2,16,116,,+3:40.2,0,10.0,1:43.0,+6.6,3.0,3:06.7,+2.9,58.0,47:53.4,+3:42.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
26,,BTUKR13004198701,PRYMA Artem,UKR,2+0+0+0,2,52:40.4,15,115,,+3:43.4,0,29.0,1:55.0,+18.6,31.0,3:19.3,+15.5,38.0,46:46.3,+2:34.9,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
