Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTCZE20301199701,DAVIDOVA Marketa,CZE,0+0+0+0,0.0,60.0,160.0,,0,73.0,59.0,10.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2563.5,0.0,130.7,35.6,220.0,35.4,2343.5,82.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
2.0,,BTAUT21612199301,HAUSER Lisa Theresa,AUT,0+0+0+1,1.0,54.0,154.0,r,0,2.0,2.0,23.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2641.2,77.7,95.3,0.2,188.2,3.6,2393.0,132.1,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
3.0,,BTGER22010198801,HERRMANN-WICK Denise,GER,0+1+0+0,1.0,48.0,148.0,,0,91.0,81.0,12.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2646.5,83.0,143.5,48.4,229.6,45.0,2356.9,96.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,Individual,world_cup
4.0,,BTBLR20501199601,SMOLSKAYA Dzinara,BLR,1+1+0+0,2.0,43.0,143.0,b,0,45.0,44.0,7.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2669.5,106.0,120.5,25.4,214.0,29.4,2335.5,74.6,1.0,0.0,1.0,0.0,1.0,1.0,80.0,100.0,80.0,100.0,90.0,90.0,90.0,Individual,world_cup
5.0,,BTRUS20803199401,NIGMATULLINA Uliana,RUS,0+0+0+1,1.0,40.0,140.0,,0,54.0,43.0,32.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2687.5,124.0,123.3,28.2,213.9,29.3,2413.6,152.7,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
6.0,,BTCAN20209199101,LUNDER Emma,CAN,0+0+1+0,1.0,38.0,138.0,,0,5.0,1.0,46.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2688.7,125.2,96.8,1.7,184.6,0.0,2444.1,183.2,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
7.0,,BTNOR20607199701,KALKENBERG Emilie Aagheim,NOR,0+0+0+1,1.0,36.0,136.0,,0,26.0,8.0,49.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2708.5,145.0,114.8,19.7,199.3,14.7,2449.2,188.3,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
8.0,,BTRUS22704199601,REZTSOVA Kristina,RUS,0+0+0+1,1.0,34.0,134.0,,0,82.0,75.0,35.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2711.2,147.7,135.9,40.8,226.2,41.6,2425.0,164.1,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
9.0,,BTGER22505199601,WEIDEL Anna,GER,0+0+0+0,0.0,32.0,132.0,,0,48.0,53.0,68.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2712.1,148.6,121.2,26.1,217.6,33.0,2494.5,233.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
10.0,,BTNOR20712199001,ROEISELAND Marte Olsbu,NOR,1+0+2+0,3.0,31.0,131.0,,0,24.0,11.0,9.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2721.6,158.1,113.9,18.8,201.1,16.5,2340.5,79.6,1.0,2.0,0.0,0.0,3.0,0.0,80.0,60.0,100.0,100.0,70.0,100.0,85.0,Individual,world_cup
11.0,,BTSWE22803199001,BRORSSON Mona,SWE,0+1+0+1,2.0,30.0,130.0,,0,30.0,20.0,30.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2732.4,168.9,115.5,20.4,205.0,20.4,2407.4,146.5,0.0,0.0,1.0,1.0,0.0,2.0,100.0,100.0,80.0,80.0,100.0,80.0,90.0,Individual,world_cup
12.0,,BTGER20710199701,VOIGT Vanessa,GER,1+0+0+0,1.0,29.0,129.0,,0,99.0,99.0,36.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2735.3,171.8,149.9,54.8,244.3,59.7,2431.0,170.1,1.0,0.0,0.0,0.0,1.0,0.0,80.0,100.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
13.0,,BTITA20402199501,VITTOZZI Lisa,ITA,3+0+0+0,3.0,28.0,128.0,,0,1.0,4.0,13.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2739.1,175.6,95.1,0.0,191.9,7.3,2367.2,106.3,3.0,0.0,0.0,0.0,3.0,0.0,40.0,100.0,100.0,100.0,70.0,100.0,85.0,Individual,world_cup
14.0,,BTJPN21301198901,TACHIZAKI Fuyuko,JPN,0+0+0+1,1.0,27.0,127.0,,0,94.0,95.0,47.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2748.2,184.7,144.7,49.6,241.4,56.8,2446.8,185.9,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
15.0,,BTNOR20609199501,LIE Lotte,BEL,0+1+0+0,1.0,26.0,126.0,,0,36.0,36.0,60.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2753.6,190.1,117.9,22.8,211.5,26.9,2482.1,221.2,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,Individual,world_cup
16.0,,BTCHN21005199201,ZHANG Yan,CHN,0+0+0+0,0.0,25.0,125.0,,0,49.0,35.0,79.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2754.5,191.0,121.4,26.3,211.3,26.7,2543.2,282.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
17.0,,BTUKR21801198601,SEMERENKO Valentina,UKR,0+0+0+1,1.0,24.0,124.0,,0,25.0,26.0,62.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2754.9,191.4,114.6,19.5,208.1,23.5,2486.8,225.9,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
18.0,,BTSWE22602199901,OEBERG Elvira,SWE,1+1+2+1,5.0,23.0,123.0,,0,18.0,7.0,1.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2760.1,196.6,112.5,17.4,199.2,14.6,2260.9,0.0,1.0,2.0,1.0,1.0,3.0,2.0,80.0,60.0,80.0,80.0,70.0,80.0,75.0,Individual,world_cup
19.0,,BTNOR20601199501,KNOTTEN Karoline Offigstad,NOR,0+0+1+0,1.0,22.0,122.0,,0,11.0,12.0,70.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2762.3,198.8,109.9,14.8,201.4,16.8,2500.9,240.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
20.0,,BTNOR22309199601,TANDREVOLD Ingrid Landmark,NOR,0+1+0+2,3.0,21.0,,,0,78.0,84.0,11.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2763.4,199.9,134.5,39.4,231.6,47.0,2351.8,90.9,0.0,0.0,1.0,2.0,0.0,3.0,100.0,100.0,80.0,60.0,100.0,70.0,85.0,Individual,world_cup
21.0,,BTCHN21809199801,MENG Fanqi,CHN,0+0+1+0,1.0,20.0,120.0,,0,71.0,65.0,63.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2768.7,205.2,130.2,35.1,221.6,37.0,2487.1,226.2,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
22.0,,BTUKR21909199001,DZHIMA Yuliia,UKR,2+0+0+1,3.0,19.0,119.0,,0,46.0,29.0,18.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2771.1,207.6,120.6,25.5,208.8,24.2,2382.3,121.4,2.0,0.0,0.0,1.0,2.0,1.0,60.0,100.0,100.0,80.0,80.0,90.0,85.0,Individual,world_cup
23.0,,BTGER21103199401,PREUSS Franziska,GER,0+1+2+1,4.0,18.0,,,0,34.0,33.0,5.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2771.8,208.3,116.7,21.6,209.5,24.9,2322.3,61.4,0.0,2.0,1.0,1.0,2.0,2.0,100.0,60.0,80.0,80.0,80.0,80.0,80.0,Individual,world_cup
24.0,,BTGER22403199201,HINZ Vanessa,GER,1+1+0+0,2.0,17.0,,,0,58.0,58.0,45.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2780.3,216.8,125.6,30.5,219.2,34.6,2441.1,180.2,1.0,0.0,1.0,0.0,1.0,1.0,80.0,100.0,80.0,100.0,90.0,90.0,90.0,Individual,world_cup
25.0,,BTRUS22202199401,MIRONOVA Svetlana,RUS,0+2+0+1,3.0,16.0,116.0,,0,35.0,39.0,25.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2788.6,225.1,116.9,21.8,212.0,27.4,2396.6,135.7,0.0,0.0,2.0,1.0,0.0,3.0,100.0,100.0,60.0,80.0,100.0,70.0,85.0,Individual,world_cup
26.0,,BTLAT22706199101,BENDIKA Baiba,LAT,2+0+0+1,3.0,15.0,115.0,,0,39.0,40.0,26.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2789.6,226.1,118.2,23.1,212.8,28.2,2396.8,135.9,2.0,0.0,0.0,1.0,2.0,1.0,60.0,100.0,100.0,80.0,80.0,90.0,85.0,Individual,world_cup
27.0,,BTCAN21607199701,MOSER Nadia,CAN,0+0+1+1,2.0,14.0,114.0,,0,14.0,18.0,55.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2792.3,228.8,111.7,16.6,204.3,19.7,2468.0,207.1,0.0,1.0,0.0,1.0,1.0,1.0,100.0,80.0,100.0,80.0,90.0,90.0,90.0,Individual,world_cup
28.0,,BTRUS21212199001,KUKLINA Larisa,RUS,0+1+1+1,3.0,13.0,,,0,72.0,55.0,24.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2793.2,229.7,130.3,35.2,218.0,33.4,2395.2,134.3,0.0,1.0,1.0,1.0,1.0,2.0,100.0,80.0,80.0,80.0,90.0,80.0,85.0,Individual,world_cup
28.0,,BTFRA21505198701,BESCOND Anais,FRA,0+3+0+1,4.0,13.0,113.0,,0,65.0,56.0,6.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,2021-11-27,2122,Female,2793.2,229.7,129.1,34.0,218.3,33.7,2334.9,74.0,0.0,0.0,3.0,1.0,0.0,4.0,100.0,100.0,40.0,80.0,100.0,60.0,80.0,Individual,world_cup
