Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
1,,BTBLR22703198501,SKARDINO Nadezhda,BLR,0+0+0+0,0,42:57.4,60,160,,0.0,0,58.0,2:17.0,+40.5,68,3:58.0,+51.1,11,38:59.2,+1:44.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
2,,BTNOR21505198901,SOLEMDAL Synnoeve,NOR,0+0+0+0,0,43:00.3,54,154,,+2.9,0,55.0,2:16.7,+40.2,55,3:51.4,+44.5,15,39:08.8,+1:54.2,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
3,,BTUKR21909199001,DZHIMA Yuliia,UKR,0+0+0+0,0,43:09.4,48,148,,+12.0,0,999.0,2:17.6,+41.1,46,3:47.4,+40.5,18,39:22.0,+2:07.4,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
4,,BTUKR21801198601,SEMERENKO Valentina,UKR,0+0+0+0,0,43:27.5,43,143,,+30.1,0,34.0,2:07.0,+30.5,39,3:42.7,+35.8,26,39:44.6,+2:30.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
5,,BTSVK22510199201,BATOVSKA FIALKOVA Paulina,SVK,0+0+0+1,1,43:29.6,40,140,,+32.2,0,26.0,2:01.0,+24.5,18,3:34.3,+27.4,10,38:55.1,+1:40.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
6,,BTSWE22803199001,BRORSSON Mona,SWE,0+0+0+0,0,43:47.0,38,138,,+49.6,0,999.0,2:08.6,+32.1,27,3:37.8,+30.9,34,40:09.1,+2:54.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
7,,BTCZE20301199101,PUSKARCIKOVA Eva,CZE,0+0+0+0,0,44:06.0,36,136,,+1:08.6,0,7.0,1:48.5,+12.0,7,3:25.2,+18.3,49,40:40.8,+3:26.2,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
8,,BTFRA20407199601,BRAISAZ-BOUCHET Justine,FRA,1+0+1+0,2,44:07.4,34,134,,+1:10.0,0,101.0,2:55.3,+1:18.8,101,4:25.9,+1:19.0,3,37:41.5,+26.9,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
9,,BTCAN20402199301,RANSOM Julia,CAN,0+0+0+0,0,44:15.8,32,132,,+1:18.4,0,53.0,2:16.0,+39.5,52,3:50.3,+43.4,42,40:25.3,+3:10.7,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
10,,BTNOR20712199001,ROEISELAND Marte Olsbu,NOR,0+0+1+1,2,44:19.1,31,131,,+1:21.7,0,49.0,2:14.0,+37.5,40,3:43.9,+37.0,7,38:35.1,+1:20.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
